asset,candidate_id,entry_atr,entry_bb_lower,entry_fee,entry_ma20,entry_ma200,entry_price,entry_rsi,entry_slippage_bps,family,notional,open_close_time,opened_at,planned_reward_r,quantity,risk_dollars,side,status,stop_loss,strategy_version,symbol,target,target_mode,trade_id,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours
BNB,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,3.835000000000004,721.2510380903523,10.0,725.7305,721.9841,732.086388,65.65656565656566,2.0,Momentum,10000.0,1789671600000,2026-09-17T19:00:00+00:00,1.5,13.659590130229274,52.38452814942976,LONG,CLOSED,728.251388,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,BNBUSDT,737.8388880000001,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789671600000,EXIT,2026-09-18T00:08:57.636885+00:00,2026-09-17T23:00:00+00:00,TARGET,737.6913202224001,76.56107686569997,10.0765610768657,20.0765610768657,2.0,56.48451578883427,1.078267148416591,10056.484515788834,4.0
BNB,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,4.034285714285716,719.54686795605,10.056484515788833,727.9040000000001,721.7976999999998,737.687508,73.86990077177506,2.0,Momentum,10056.484515788834,1789686000000,2026-09-17T23:00:00+00:00,1.5,13.632445184077639,54.997178856907524,LONG,CLOSED,733.6532222857143,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,BNBUSDT,743.7389365714286,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789686000000,EXIT,2026-09-18T07:21:54.848081+00:00,2026-09-18T02:00:00+00:00,TARGET,743.5901887841143,80.46797222854654,10.136952488017382,20.193437003806217,2.0,60.274535224740326,1.0959568559246193,10116.759051013574,3.0
BNB,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,4.390714285714296,717.3472481212722,10.116759051013576,730.6375,721.83175,747.969564,81.69154228855702,2.0,Momentum,10116.759051013574,1789696800000,2026-09-18T02:00:00+00:00,1.5,13.52562930089168,59.387173794700196,LONG,CLOSED,743.5788497142858,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,BNBUSDT,754.5556354285713,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789696800000,EXIT,2026-09-18T07:21:54.848081+00:00,2026-09-18T06:00:00+00:00,TARGET,754.4047243014857,87.03959272970947,10.203798643743285,20.32055769475686,2.0,66.71903503495261,1.1234586657650767,10183.478086048526,4.0
BNB,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,4.3671428571428725,716.570932660839,10.183478086048526,736.2085,722.3002,754.560882,93.81409196162751,2.0,Momentum,10183.478086048526,1789711200000,2026-09-18T06:00:00+00:00,1.5,13.495899839197504,58.93852258346713,LONG,CLOSED,750.1937391428571,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,BNBUSDT,761.1115962857143,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789711200000,EXIT,2026-09-18T12:56:01.367183+00:00,2026-09-18T09:00:00+00:00,SL,750.0437003950285,-60.96343049616057,10.122514655552367,20.305992741600893,2.0,-81.26942323776146,-1.3788846356416538,10102.208662810765,3.0
PAXG,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,12.86714285714288,4327.683640934223,10.0,4353.532499999999,4336.429099999999,4390.087842,66.00210970464155,2.0,Momentum,10000.0,1789711200000,2026-09-18T06:00:00+00:00,1.5000000000000353,2.277858749050516,29.309533932424728,LONG,CLOSED,4377.2206991428575,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,PAXGUSDT,4409.388556285714,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-PAXG-1789711200000,EXIT,2026-09-18T12:56:01.367183+00:00,2026-09-18T09:00:00+00:00,SL,4376.345255003029,-31.303672025638505,9.968696327974362,19.968696327974364,2.0,-51.27236835361287,-1.7493409643368967,9948.727631646387,3.0
BTC,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,572.3492857142846,75199.23267965192,10.0,77557.501,77075.8791,80925.14179200001,92.85358103153244,2.0,Momentum,10000.0,1789740000000,2026-09-18T14:00:00+00:00,1.5000000000000127,0.12357099139477278,70.72576865980422,LONG,CLOSED,80352.79250628572,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,BTCUSDT,81783.66572057144,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BTC-1789740000000,EXIT,2026-09-19T17:12:43.192028+00:00,2026-09-19T14:00:00+00:00,TIME,81538.579022,75.80304666956275,10.075803046669563,20.075803046669563,2.0,55.727243622893184,0.787934082285412,10055.727243622892,24.0
BNB,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,6.239999999999993,740.1436580810578,10.102208662810764,759.4185,734.9020999999999,779.585886,85.63471803202587,2.0,Momentum,10102.208662810765,1789948800000,2026-09-21T00:00:00+00:00,1.5,12.958429397233553,80.8605994387375,LONG,CLOSED,773.345886,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,BNBUSDT,788.945886,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789948800000,EXIT,2026-09-21T04:47:15.265837+00:00,2026-09-21T04:00:00+00:00,SL,773.1912168228,-82.86486905141105,10.019343793759354,20.121552456570118,2.0,-102.98642150798116,-1.2736292115421044,9999.222241302783,4.0
BNB,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,7.733571428571428,759.690001577277,9.999222241302784,773.9549999999999,737.6697,790.6981079999999,71.83968926553678,2.0,Momentum,9999.222241302783,1789988400000,2026-09-21T11:00:00+00:00,1.5,12.646068253021271,97.79927212532907,LONG,CLOSED,782.9645365714285,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,BNBUSDT,802.298465142857,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BNB-1789988400000,EXIT,2026-09-21T12:40:47.965035+00:00,2026-09-21T12:00:00+00:00,TARGET,802.1380054498285,144.66972395809583,10.143891965260881,20.143114206563666,2.0,124.52660975153216,1.2732876947381797,10123.748851054315,1.0
BTC,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,706.3635714285722,79643.80165602508,10.055727243622893,81518.231,78358.82455,84652.417098,82.47668314322637,2.0,Momentum,10055.727243622892,1789981200000,2026-09-21T09:00:00+00:00,1.5,0.11878842433975188,83.9078156610005,LONG,CLOSED,83946.05352657143,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,BTCUSDT,85711.96245514287,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BTC-1789981200000,EXIT,2026-09-21T19:20:12.056654+00:00,2026-09-21T13:00:00+00:00,TARGET,85694.82006265185,123.82540569807894,10.179552649320971,20.235279892943865,2.0,103.59012580513507,1.2345706414722308,10159.317369428027,4.0
BTC,SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,848.8892857142876,79038.3038848796,10.159317369428027,82562.895,78558.04965,85849.876542,85.34285104908156,2.0,Momentum,10159.317369428027,1789999200000,2026-09-21T14:00:00+00:00,1.5000000000000087,0.11833817098686011,100.45600544177152,LONG,CLOSED,85000.9872562857,strategy-lab-v1.0.0:SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1,BTCUSDT,87123.21047057144,FIXED_150R,SLAB-SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1-BTC-1789999200000,EXIT,2026-09-21T23:13:29.477776+00:00,2026-09-21T20:00:00+00:00,TARGET,87105.78582847734,148.62200788714108,10.307939377315169,20.467256746743196,2.0,128.15475114039788,1.2757301126678953,10287.472120568425,6.0
