tier,asset,timeframe,source,rows,train_trades,train_expectancy_r,train_ci_low,test_trades,test_expectancy_r,test_ci_low,full_trades,full_win_rate,full_expectancy_r,full_profit_factor,random_test_trades,random_test_expectancy_r,edge_over_random_r,top_rejection,grid_status,classification,notes
TIER_1_RANGE_PRONE,EURUSD,1h,yfinance EURUSD=X 1h candles,1399,23,-0.6614,-0.9825,6,-0.6041,-1.3051,29,0.2759,-0.6495,0.176,5,-0.8464,0.2423,CLOSE_NOT_OUTSIDE_BAND,NOT_APPLICABLE_NATIVE_1H,DIED,Not enough edge; train=-0.6614R test=-0.6041R edge_over_random=0.2423R.
TIER_1_RANGE_PRONE,EURUSD,4h,yfinance EURUSD=X 4h candles,364,7,0.1568,-0.2447,2,0.1511,-0.2978,9,0.5556,0.1555,1.9943,2,0.0653,0.0858,CLOSE_NOT_OUTSIDE_BAND,NOT_RUN_INSUFFICIENT_SAMPLE,PROMISING_WATCHLIST,Positive but not fully verified; grid=NOT_RUN_INSUFFICIENT_SAMPLE; edge_over_random=0.0858R.
TIER_1_RANGE_PRONE,EURUSD,1d,yfinance EURUSD=X daily candles,264,4,-0.3868,-1.0556,1,-0.136,-0.136,6,0.3333,-0.3351,0.2199,1,0.1837,-0.3198,CLOSE_NOT_OUTSIDE_BAND,STRUCTURALLY_UNTESTED_DAILY_WEEKLY,DIED,Not enough edge; train=-0.3868R test=-0.1360R edge_over_random=-0.3198R.
TIER_1_RANGE_PRONE,USDJPY,1h,yfinance JPY=X 1h candles,1391,17,-0.8733,-1.1796,9,-0.3867,-0.7571,26,0.1538,-0.7046,0.0482,5,-0.7853,0.3986,CLOSE_NOT_OUTSIDE_BAND,NOT_APPLICABLE_NATIVE_1H,DIED,Not enough edge; train=-0.8733R test=-0.3867R edge_over_random=0.3986R.
TIER_1_RANGE_PRONE,USDJPY,4h,yfinance JPY=X 4h candles,364,4,-0.5557,-1.1977,1,0.3863,0.3863,7,0.2857,-0.6354,0.2163,1,0.1681,0.2183,CLOSE_NOT_OUTSIDE_BAND,NOT_RUN_INSUFFICIENT_SAMPLE,DIED,Not enough edge; train=-0.5557R test=0.3863R edge_over_random=0.2183R.
TIER_1_RANGE_PRONE,USDJPY,1d,yfinance JPY=X daily candles,264,4,0.0634,-0.487,0,0.0,0.0,4,0.5,0.0634,1.2513,0,0.0,0.0,CLOSE_NOT_OUTSIDE_BAND,STRUCTURALLY_UNTESTED_DAILY_WEEKLY,DIED,Not enough edge; train=0.0634R test=0.0000R edge_over_random=0.0000R.
TIER_1_RANGE_PRONE,GBPUSD,1h,yfinance GBPUSD=X 1h candles,1399,14,0.0346,-0.3221,7,-0.3936,-0.7798,21,0.3333,-0.1081,0.6327,6,-0.776,0.3825,CLOSE_NOT_OUTSIDE_BAND,NOT_APPLICABLE_NATIVE_1H,DIED,Not enough edge; train=0.0346R test=-0.3936R edge_over_random=0.3825R.
TIER_1_RANGE_PRONE,GBPUSD,4h,yfinance GBPUSD=X 4h candles,364,6,0.0273,-0.3383,3,0.0149,-1.1306,10,0.6,0.0754,1.333,2,0.263,-0.2481,CLOSE_NOT_OUTSIDE_BAND,NOT_RUN_INSUFFICIENT_SAMPLE,PROMISING_WATCHLIST,Positive but not fully verified; grid=NOT_RUN_INSUFFICIENT_SAMPLE; edge_over_random=-0.2481R.
TIER_1_RANGE_PRONE,GBPUSD,1d,yfinance GBPUSD=X daily candles,264,4,0.0148,-0.7159,1,0.2546,0.2546,5,0.8,0.0627,1.2893,1,0.2919,-0.0373,CLOSE_NOT_OUTSIDE_BAND,STRUCTURALLY_UNTESTED_DAILY_WEEKLY,PROMISING_WATCHLIST,Positive but not fully verified; grid=STRUCTURALLY_UNTESTED_DAILY_WEEKLY; edge_over_random=-0.0373R.
TIER_1_RANGE_PRONE,USDCHF,1h,yfinance CHF=X 1h candles,1391,24,-0.4094,-0.6581,6,-0.268,-0.8393,31,0.4194,-0.4108,0.2018,5,-0.8413,0.5734,CLOSE_NOT_OUTSIDE_BAND,NOT_APPLICABLE_NATIVE_1H,DIED,Not enough edge; train=-0.4094R test=-0.2680R edge_over_random=0.5734R.
TIER_1_RANGE_PRONE,USDCHF,4h,yfinance CHF=X 4h candles,364,2,-0.3428,-0.3949,3,0.0057,-1.1231,6,0.5,-0.0392,0.8632,3,-0.013,0.0188,CLOSE_NOT_OUTSIDE_BAND,NOT_RUN_INSUFFICIENT_SAMPLE,DIED,Not enough edge; train=-0.3428R test=0.0057R edge_over_random=0.0188R.
TIER_1_RANGE_PRONE,USDCHF,1d,yfinance CHF=X daily candles,264,4,-0.1054,-0.7871,0,0.0,0.0,4,0.5,-0.1054,0.7277,0,0.0,0.0,CLOSE_NOT_OUTSIDE_BAND,STRUCTURALLY_UNTESTED_DAILY_WEEKLY,DIED,Not enough edge; train=-0.1054R test=0.0000R edge_over_random=0.0000R.
TIER_1_RANGE_PRONE,GOLD,4h,Generated sample intraday candles,240,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,none,NOT_RUN,SKIPPED,SKIPPED_NOT_LIVE
TIER_1_RANGE_PRONE,GOLD,1d,Generated sample candles,371,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,none,NOT_RUN,SKIPPED,SKIPPED_NOT_LIVE
TIER_1_RANGE_PRONE,GOLD,1wk,Generated sample candles,53,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,none,NOT_RUN,SKIPPED,SKIPPED_NOT_LIVE
TIER_1_RANGE_PRONE,SILVER,4h,Generated sample intraday candles,240,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,none,NOT_RUN,SKIPPED,SKIPPED_NOT_LIVE
TIER_1_RANGE_PRONE,SILVER,1d,Generated sample candles,371,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,none,NOT_RUN,SKIPPED,SKIPPED_NOT_LIVE
