Candidate,Family,Trades,Win Rate,Expectancy R,Profit Factor,Max Drawdown,Action,Recommendation
NEW_BTC_12H_MR,Mean Reversion,1,1.0,1.125,79.021,0.0,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
BREAKOUT_MOMENTUM_V1,Momentum,47,0.34,-0.642,0.491,0.066,REWORK,Rework breakout entry: require retest/close confirmation and volatility shock filter before paper entry.
MR_RELAXED_PULLBACK_V1,Mean Reversion,32,0.375,-0.724,0.533,0.082,REWORK,Rework mean-reversion entry: require oversold recovery hook and stronger trend/regime confirmation.
MR_REGIME_FILTER_V1,Mean Reversion,21,0.238,-1.112,0.324,0.064,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
NEW_BNB_12H_TREND,Momentum,0,0.0,0.0,0.0,0.0,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
NEW_BNB_12H_MR,Mean Reversion,0,0.0,0.0,0.0,0.0,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
NEW_XRP_2H_MR,Mean Reversion,0,0.0,0.0,0.0,0.0,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
NEW_NEAR_2H_MR,Mean Reversion,0,0.0,0.0,0.0,0.0,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
MR_TARGET_1R_V1,Exit Logic,19,0.263,-1.112,0.284,0.064,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
V2_BREAKOUT_RETEST,Momentum,17,0.176,-1.341,0.262,0.021,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
MR_DEEP_VALUE_V1,Mean Reversion,10,0.0,-1.991,0.0,0.035,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
V2_MR_DEEP,Mean Reversion,1,0.0,-1.209,0.0,0.0,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
V2_MR_RECOVERY,Mean Reversion,4,0.0,-1.843,0.0,0.012,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
V2_MR_REGIME,Mean Reversion,4,0.0,-1.843,0.0,0.012,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
V2_MR_REWARD,Exit Logic,2,0.0,-2.092,0.0,0.0,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
NEW_BTC_ETH_12H_PAIR,Pairs Research,0,0.0,0.0,0.0,0.0,COLLECT_MORE_DATA,Keep in shadow testing; sample is too small for strategy judgement.
