NERO Strategy TEST Lab Weekly Report
Report time: 2026-09-25 08:40 PM PKT

Executive Summary
5-algo paper-test is active. Total closed paper trades across candidates: 634.
Current top candidate: RMR_CONFIRMATION_BTC_1D | rating=INSUFFICIENT_SAMPLE | score=66/100.

Candidate Scoreboard
- RMR_CONFIRMATION_BTC_1D: trades=8, win_rate=25%, expectancy=0.53R, profit_factor=106.58, drawdown=0%, rating=INSUFFICIENT_SAMPLE, score=66/100
- RMR_LONG_ONLY_BTC_1D: trades=10, win_rate=20%, expectancy=0.38R, profit_factor=76.14, drawdown=0%, rating=INSUFFICIENT_SAMPLE, score=66/100
- RMR_ADX_FALLING_ETH_4H: trades=11, win_rate=27%, expectancy=0.26R, profit_factor=54.58, drawdown=0%, rating=INSUFFICIENT_SAMPLE, score=65/100
- SIE_FIX_BREAKOUT_QUALITY_R_QUALITY_V1: trades=13, win_rate=69%, expectancy=0.35R, profit_factor=2.07, drawdown=-2%, rating=INSUFFICIENT_SAMPLE, score=57/100
- NEW_BNB_12H_TREND: trades=23, win_rate=57%, expectancy=-0.13R, profit_factor=0.99, drawdown=-2%, rating=WATCHLIST, score=55/100
- SIE_OLD_BREAKOUT_RETEST_QUALITY_V1: trades=21, win_rate=52%, expectancy=-0.01R, profit_factor=1.06, drawdown=-6%, rating=WATCHLIST, score=55/100
- REPAIR_BREAKOUT_QUALITY_V1: trades=26, win_rate=58%, expectancy=-0.29R, profit_factor=1.37, drawdown=-5%, rating=WATCHLIST, score=55/100
- HYP_OIL_TREND_V1: trades=20, win_rate=55%, expectancy=0.02R, profit_factor=0.99, drawdown=-6%, rating=WATCHLIST, score=55/100
- NEW_BNB_12H_MR: trades=20, win_rate=45%, expectancy=-0.23R, profit_factor=0.81, drawdown=-4%, rating=WATCHLIST, score=51/100
- SIE_V2_BREAKOUT_RETEST_RETEST_QUALITY_V1: trades=11, win_rate=64%, expectancy=0.20R, profit_factor=1.65, drawdown=-2%, rating=INSUFFICIENT_SAMPLE, score=48/100
- V2_MR_RECOVERY: trades=20, win_rate=35%, expectancy=-0.45R, profit_factor=0.66, drawdown=-2%, rating=WATCHLIST, score=48/100
- NEW_BTC_12H_MR: trades=20, win_rate=55%, expectancy=-0.21R, profit_factor=0.52, drawdown=-6%, rating=WATCHLIST, score=46/100
- V2_MR_REWARD: trades=22, win_rate=55%, expectancy=-0.72R, profit_factor=0.92, drawdown=-2%, rating=WATCHLIST, score=46/100
- SIE_NEW_BNB_12H_TREND_RETEST_QUALITY_V1: trades=6, win_rate=67%, expectancy=0.32R, profit_factor=1.67, drawdown=-2%, rating=INSUFFICIENT_SAMPLE, score=46/100
- SIE_OLD_MR_DEEP_EXHAUSTION_CONFIRM_V1: trades=3, win_rate=67%, expectancy=0.44R, profit_factor=1.77, drawdown=-2%, rating=INSUFFICIENT_SAMPLE, score=45/100
- V2_MR_DEEP: trades=11, win_rate=55%, expectancy=0.09R, profit_factor=1.26, drawdown=-3%, rating=INSUFFICIENT_SAMPLE, score=42/100
- SHORT_OIL_BREAKDOWN_1H: trades=20, win_rate=35%, expectancy=-0.42R, profit_factor=0.46, drawdown=-7%, rating=REJECT_OR_REWORK, score=42/100
- V2_BREAKOUT_RETEST: trades=44, win_rate=36%, expectancy=-0.86R, profit_factor=0.78, drawdown=-4%, rating=REJECT_OR_REWORK, score=41/100
- BREAKOUT_MOMENTUM_V1: trades=92, win_rate=39%, expectancy=-0.67R, profit_factor=0.59, drawdown=-7%, rating=REJECT_OR_REWORK, score=39/100
- MR_RELAXED_PULLBACK_V1: trades=41, win_rate=41%, expectancy=-0.64R, profit_factor=0.61, drawdown=-8%, rating=REJECT_OR_REWORK, score=38/100
- RMR_LONG_ONLY_EURUSD_4H: trades=13, win_rate=15%, expectancy=-0.09R, profit_factor=0.63, drawdown=-0%, rating=INSUFFICIENT_SAMPLE, score=38/100
- MR_REGIME_FILTER_V1: trades=28, win_rate=32%, expectancy=-0.85R, profit_factor=0.43, drawdown=-6%, rating=REJECT_OR_REWORK, score=35/100
- MR_TARGET_1R_V1: trades=25, win_rate=36%, expectancy=-0.84R, profit_factor=0.38, drawdown=-6%, rating=REJECT_OR_REWORK, score=35/100
