parent_strategy,parent_label,repair_candidate,repair_label,attempt_number,max_attempts,status,fresh_data_mode,forward_start,historical_window_status,anti_overfit_guard,repair_trades,repair_net_pnl,parent_trades,parent_net_pnl,parent_expectancy_r,parent_profit_factor,repair_expectancy_r,repair_profit_factor,repair_vs_parent_net_delta,repair_quality_label,repair_quality_detail,failure_reason_code,failure_reason_detail,repair_hypothesis_schema_version,repair_proposal_schema,random_baseline_status,random_baseline_expectancy_r,beats_parent,beats_random_baseline,sample_milestone,promotion_decision,lineage_status,dashboard_lineage_label,next_action,llm_role,allowed_changes,blocked_changes,promotion_gate
MR_DEEP_VALUE_V1,OLD_MR_DEEP,NEEDS_DESIGN,NEEDS_DESIGN,0,4,DESIGN_REQUIRED,NOT_ASSIGNED,2026-08-24,NO_REPAIR_CANDIDATE,BLOCKED_NO_REPAIR_SPEC,0,0.0,20,-1318.79,-1.6624,0.0129,0.0,0.0,1318.79,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",MEAN_REVERSION_EARLY_ENTRY,Mean-reversion entry is too early or regime filter is weak. Negative evidence with at least 20 trades.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""MEAN_REVERSION_EARLY_ENTRY"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",NO_REPAIR_NO_BASELINE,0.0,False,False,DESIGN_REQUIRED,DESIGN_REQUIRED,NEEDS_DESIGN,OLD_MR_DEEP -> NEEDS_DESIGN: DESIGN_REQUIRED,Strategy Doctor must create a versioned repair candidate.,LLM may draft a repair hypothesis only after failure autopsy.,Max two scoped changes after diagnosis.,No test until repair contract exists.,Not eligible.
V2_MR_RECOVERY,V2_MR_RECOVERY,NEEDS_DESIGN,NEEDS_DESIGN,0,4,DESIGN_REQUIRED,NOT_ASSIGNED,2026-08-24,NO_REPAIR_CANDIDATE,BLOCKED_NO_REPAIR_SPEC,0,0.0,20,-297.47,-0.4488,0.6632,0.0,0.0,297.47,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",MEAN_REVERSION_EARLY_ENTRY,Mean-reversion entry is too early or regime filter is weak. Negative evidence with at least 20 trades.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""MEAN_REVERSION_EARLY_ENTRY"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",NO_REPAIR_NO_BASELINE,0.0,False,False,DESIGN_REQUIRED,DESIGN_REQUIRED,NEEDS_DESIGN,V2_MR_RECOVERY -> NEEDS_DESIGN: DESIGN_REQUIRED,Strategy Doctor must create a versioned repair candidate.,LLM may draft a repair hypothesis only after failure autopsy.,Max two scoped changes after diagnosis.,No test until repair contract exists.,Not eligible.
HYP_OIL_TREND_V1,HYP_OIL_TREND,NEEDS_DESIGN,NEEDS_DESIGN,0,4,DESIGN_REQUIRED,NOT_ASSIGNED,2026-08-24,NO_REPAIR_CANDIDATE,BLOCKED_NO_REPAIR_SPEC,0,0.0,20,-9.45,0.0156,0.9898,0.0,0.0,9.45,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",INSUFFICIENT_FAILURE_SAMPLE,Failure sample is below the minimum review threshold.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""INSUFFICIENT_FAILURE_SAMPLE"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",NO_REPAIR_NO_BASELINE,0.0,False,False,DESIGN_REQUIRED,DESIGN_REQUIRED,NEEDS_DESIGN,HYP_OIL_TREND -> NEEDS_DESIGN: DESIGN_REQUIRED,Strategy Doctor must create a versioned repair candidate.,LLM may draft a repair hypothesis only after failure autopsy.,Max two scoped changes after diagnosis.,No test until repair contract exists.,Not eligible.
NEW_BNB_12H_TREND,NEW_BNB_12H_TREND,NEEDS_DESIGN,NEEDS_DESIGN,0,4,DESIGN_REQUIRED,NOT_ASSIGNED,2026-08-24,NO_REPAIR_CANDIDATE,BLOCKED_NO_REPAIR_SPEC,0,0.0,23,-4.45,-0.1343,0.9947,0.0,0.0,4.45,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",INSUFFICIENT_FAILURE_SAMPLE,Failure sample is below the minimum review threshold.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""INSUFFICIENT_FAILURE_SAMPLE"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",NO_REPAIR_NO_BASELINE,0.0,False,False,DESIGN_REQUIRED,DESIGN_REQUIRED,NEEDS_DESIGN,NEW_BNB_12H_TREND -> NEEDS_DESIGN: DESIGN_REQUIRED,Strategy Doctor must create a versioned repair candidate.,LLM may draft a repair hypothesis only after failure autopsy.,Max two scoped changes after diagnosis.,No test until repair contract exists.,Not eligible.
REPAIR_BREAKOUT_QUALITY_V1,FIX_BREAKOUT_QUALITY,NEEDS_DESIGN,NEEDS_DESIGN,0,4,DESIGN_REQUIRED,NOT_ASSIGNED,2026-08-24,NO_REPAIR_CANDIDATE,BLOCKED_NO_REPAIR_SPEC,0,0.0,26,230.58,-0.2924,1.3706,0.0,0.0,-230.58,NO_REPAIR_SPEC,"No versioned repair exists yet, so there is no repair edge to judge.",BREAKOUT_FAKEOUT,Breakout edge is weak; likely fakeout/poor trend-quality filter. Negative evidence with at least 20 trades.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""BREAKOUT_FAKEOUT"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",NO_REPAIR_NO_BASELINE,0.0,False,False,DESIGN_REQUIRED,DESIGN_REQUIRED,NEEDS_DESIGN,FIX_BREAKOUT_QUALITY -> NEEDS_DESIGN: DESIGN_REQUIRED,Strategy Doctor must create a versioned repair candidate.,LLM may draft a repair hypothesis only after failure autopsy.,Max two scoped changes after diagnosis.,No test until repair contract exists.,Not eligible.
MR_TARGET_1R_V1,OLD_MR_1R,REPAIR_MR_1R_ASYMMETRIC_V1,FIX_MR_1R_ASYM,1,4,FORWARD_REPAIR_TRACKING,FORWARD_PAPER_FROM_TODAY,2026-08-24,NO_ORIGINAL_WINDOW_RECORDED_FORWARD_ONLY,PASS_FORWARD_PAPER_ACCEPTED,3,-84.78,25,-775.15,-0.8359,0.3789,-0.5868,0.4205,690.38,NEGATIVE_REPAIR,Repair is still losing in both net P/L and R-expectancy.,EXIT_ASYMMETRY,Exit logic is asymmetric; target/stop reward quality needs repair. Negative evidence with at least 20 trades.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""EXIT_ASYMMETRY"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",BASELINE_NOT_AVAILABLE,0.0,True,True,UNDER_30_COLLECTING,COLLECT_FRESH_DATA,ACTIVE_FORWARD_REPAIR,OLD_MR_1R -> FIX_MR_1R_ASYM: COLLECT_FRESH_DATA,Paper-track until at least 30 fresh trades; current milestone UNDER_30_COLLECTING.,LLM may draft a repair only in the strict JSON schema; deterministic tests decide promotion.,"Max two scoped changes: regime gate, confirmation, target/stop, holding cap, volatility filter, asset/timeframe restriction.","No same-window retest promotion, no unlimited parameter search, no post-result cherry-picking, no silent strategy mutation.","30/50/100 fresh-trade milestones, expectancy > 0, profit factor >= 1.20, drawdown acceptable, beats parent and random baseline."
MR_REGIME_FILTER_V1,OLD_MR_REGIME,REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,1,4,FORWARD_REPAIR_TRACKING,FORWARD_PAPER_FROM_TODAY,2026-08-24,NO_ORIGINAL_WINDOW_RECORDED_FORWARD_ONLY,PASS_FORWARD_PAPER_ACCEPTED,2,-19.81,28,-797.35,-0.8489,0.4271,-0.3112,0.7079,777.54,NEGATIVE_REPAIR,Repair is still losing in both net P/L and R-expectancy.,MEAN_REVERSION_EARLY_ENTRY,Mean-reversion entry is too early or regime filter is weak. Negative evidence with at least 20 trades.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""MEAN_REVERSION_EARLY_ENTRY"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",BASELINE_NOT_AVAILABLE,0.0,True,True,UNDER_30_COLLECTING,COLLECT_FRESH_DATA,ACTIVE_FORWARD_REPAIR,OLD_MR_REGIME -> FIX_MR_LATE: COLLECT_FRESH_DATA,Paper-track until at least 30 fresh trades; current milestone UNDER_30_COLLECTING.,LLM may draft a repair only in the strict JSON schema; deterministic tests decide promotion.,"Max two scoped changes: regime gate, confirmation, target/stop, holding cap, volatility filter, asset/timeframe restriction.","No same-window retest promotion, no unlimited parameter search, no post-result cherry-picking, no silent strategy mutation.","30/50/100 fresh-trade milestones, expectancy > 0, profit factor >= 1.20, drawdown acceptable, beats parent and random baseline."
MR_RELAXED_PULLBACK_V1,OLD_MR_RELAXED,REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,1,4,FORWARD_REPAIR_TRACKING,FORWARD_PAPER_FROM_TODAY,2026-08-24,NO_ORIGINAL_WINDOW_RECORDED_FORWARD_ONLY,PASS_FORWARD_PAPER_ACCEPTED,2,-19.81,41,-671.4,-0.6383,0.6091,-0.3112,0.7079,651.59,NEGATIVE_REPAIR,Repair is still losing in both net P/L and R-expectancy.,MEAN_REVERSION_EARLY_ENTRY,Mean-reversion entry is too early or regime filter is weak. 30+ trade sample shows negative or weak risk-adjusted edge.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""MEAN_REVERSION_EARLY_ENTRY"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",BASELINE_NOT_AVAILABLE,0.0,True,True,UNDER_30_COLLECTING,COLLECT_FRESH_DATA,ACTIVE_FORWARD_REPAIR,OLD_MR_RELAXED -> FIX_MR_LATE: COLLECT_FRESH_DATA,Paper-track until at least 30 fresh trades; current milestone UNDER_30_COLLECTING.,LLM may draft a repair only in the strict JSON schema; deterministic tests decide promotion.,"Max two scoped changes: regime gate, confirmation, target/stop, holding cap, volatility filter, asset/timeframe restriction.","No same-window retest promotion, no unlimited parameter search, no post-result cherry-picking, no silent strategy mutation.","30/50/100 fresh-trade milestones, expectancy > 0, profit factor >= 1.20, drawdown acceptable, beats parent and random baseline."
BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,REPAIR_BREAKOUT_QUALITY_V1,FIX_BREAKOUT_QUALITY,1,4,FORWARD_REPAIR_TRACKING,FORWARD_PAPER_FROM_TODAY,2026-08-24,NO_ORIGINAL_WINDOW_RECORDED_FORWARD_ONLY,PASS_FORWARD_PAPER_ACCEPTED,26,230.58,92,-1549.48,-0.6675,0.5925,-0.2924,1.3706,1780.06,ACCOUNTING_PROFIT_ONLY,"Net dollars are positive, but R-expectancy is not positive; treat as unproven and redesign risk/reward before promotion.",CAPITAL_DRAIN,Large negative net P/L with 30+ trades; strategy is draining paper capital.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""CAPITAL_DRAIN"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",BASELINE_NOT_AVAILABLE,0.0,True,True,UNDER_30_COLLECTING,COLLECT_FRESH_DATA_ACCOUNTING_ONLY,ACTIVE_FORWARD_REPAIR,OLD_BREAKOUT -> FIX_BREAKOUT_QUALITY: COLLECT_FRESH_DATA_ACCOUNTING_ONLY,Do not promote; collect more fresh trades and redesign risk/reward because dollars are positive but R is not.,LLM may draft a repair only in the strict JSON schema; deterministic tests decide promotion.,"Max two scoped changes: regime gate, confirmation, target/stop, holding cap, volatility filter, asset/timeframe restriction.","No same-window retest promotion, no unlimited parameter search, no post-result cherry-picking, no silent strategy mutation.","30/50/100 fresh-trade milestones, expectancy > 0, profit factor >= 1.20, drawdown acceptable, beats parent and random baseline."
V2_BREAKOUT_RETEST,V2_BREAKOUT_RETEST,REPAIR_BREAKOUT_QUALITY_V1,FIX_BREAKOUT_QUALITY,1,4,FORWARD_REPAIR_TRACKING,FORWARD_PAPER_FROM_TODAY,2026-08-24,NO_ORIGINAL_WINDOW_RECORDED_FORWARD_ONLY,PASS_FORWARD_PAPER_ACCEPTED,26,230.58,44,-323.01,-0.8623,0.7761,-0.2924,1.3706,553.59,ACCOUNTING_PROFIT_ONLY,"Net dollars are positive, but R-expectancy is not positive; treat as unproven and redesign risk/reward before promotion.",BREAKOUT_FAKEOUT,Breakout edge is weak; likely fakeout/poor trend-quality filter. 30+ trade sample shows negative or weak risk-adjusted edge.,repair_proposal_v1,"{""blocked"": [""same_window_retest"", ""unlimited_parameter_search"", ""silent_mutation"", ""real_orders""], ""changed_rules"": [""max_two_scoped_rule_changes""], ""failure_reason_code"": ""BREAKOUT_FAKEOUT"", ""fresh_data_plan"": {""mode"": ""FORWARD_PAPER_FROM_TODAY_OR_UNSEEN_HISTORICAL"", ""no_overlap_required"": true}, ""parent_strategy"": ""required_parent_id"", ""promotion_gates"": {""beats_random_baseline"": true, ""expectancy_r"": "">0"", ""min_trades"": [30, 50, 100], ""profit_factor"": "">=1.20""}, ""proposal_id"": ""required_unique_version_id"", ""schema_version"": ""repair_proposal_v1"", ""unchanged_rules"": [""entry_family"", ""paper_only"", ""risk_model""]}",BASELINE_NOT_AVAILABLE,0.0,True,True,UNDER_30_COLLECTING,COLLECT_FRESH_DATA_ACCOUNTING_ONLY,ACTIVE_FORWARD_REPAIR,V2_BREAKOUT_RETEST -> FIX_BREAKOUT_QUALITY: COLLECT_FRESH_DATA_ACCOUNTING_ONLY,Do not promote; collect more fresh trades and redesign risk/reward because dollars are positive but R is not.,LLM may draft a repair only in the strict JSON schema; deterministic tests decide promotion.,"Max two scoped changes: regime gate, confirmation, target/stop, holding cap, volatility filter, asset/timeframe restriction.","No same-window retest promotion, no unlimited parameter search, no post-result cherry-picking, no silent strategy mutation.","30/50/100 fresh-trade milestones, expectancy > 0, profit factor >= 1.20, drawdown acceptable, beats parent and random baseline."
