group,events,btc_avg_7d,gold_avg_7d,btc_hit_rate,gold_hit_rate,avg_confidence
event_type:crypto_policy,4,0.03,-0.002083,0.75,0.5,0.71
crypto_friendly_policy,3,0.046667,0.01257,1.0,0.6667,0.6833
crypto_regulation,3,0.01,-0.020215,0.6667,0.0,0.5967
policy_clarity,3,0.04,-0.00595,1.0,0.3333,0.6633
structural_adoption,2,0.05,0.011713,1.0,0.5,0.665
administration_transition,1,0.02,-0.014387,1.0,0.0,0.45
anti_cbdc,1,0.04,0.014284,1.0,1.0,0.72
bank_custody,1,-0.04,-0.014342,0.0,0.0,0.62
cbdc,1,0.05,-0.031916,1.0,0.0,0.72
consumer_protection,1,0.05,-0.031916,1.0,0.0,0.72
event_type:crypto_legislation,1,0.03,-0.000218,1.0,0.0,0.55
event_type:regulatory_freeze,1,0.02,-0.014387,1.0,0.0,0.45
event_type:sanctions_geopolitics,1,0.09,0.016849,1.0,1.0,0.65
geopolitical_risk,1,0.09,0.016849,1.0,1.0,0.65
institutional_friction,1,-0.04,-0.014342,0.0,0.0,0.62
institutional_legitimacy,1,0.07,0.023644,1.0,1.0,0.78
oil_supply_risk,1,0.09,0.016849,1.0,1.0,0.65
policy_hostile,1,-0.04,-0.014342,0.0,0.0,0.62
policy_uncertainty,1,0.02,-0.014387,1.0,0.0,0.45
regulatory_framework,1,0.04,0.014284,1.0,1.0,0.72
risk_off,1,0.09,0.016849,1.0,1.0,0.65
safe_haven,1,0.09,0.016849,1.0,1.0,0.65
sanctions,1,0.09,0.016849,1.0,1.0,0.65
stablecoin_legislation,1,0.03,-0.000218,1.0,0.0,0.55
strategic_bitcoin_reserve,1,0.07,0.023644,1.0,1.0,0.78
war,1,0.09,0.016849,1.0,1.0,0.65
